T_supply_C,COP_eff,P_pump_kW,P_chiller_kW,P_cool_kW,P_cool_rel_to_17C
17.0,3.0000001000000003,25.000584000000003,333.3333222222226,358.3339062222226,1.0
17.25,3.1996554,25.000584000000003,312.5336559680771,337.53423996807703,0.9419545125566584
17.5,3.3993107,25.000584000000003,294.17728717766227,319.17787117766227,0.8907275187621304
17.75,3.598966,25.000584000000003,277.8575846507025,302.85816865070245,0.8451842356857054
18.0,3.7986213,25.000584000000003,263.2534072296178,288.2539912296177,0.8044284568785839
18.25,3.9982766,25.000584000000003,250.1077589279341,275.10834292793413,0.7677429853856037
18.5,4.1979319,25.000584000000003,238.2125350818578,263.21311908185777,0.7345470649339693
18.75,4.3975872,25.000584000000003,227.39742375091504,252.39800775091504,0.7043654071473469
19.0,4.5972425,25.000584000000003,217.5216991490007,242.5222831490007,0.6768052895295911
19.25,4.7968978,25.000584000000003,208.46806450618982,233.46864850618982,0.6515393727809923
19.5,4.9965531,25.000584000000003,200.13797111452695,225.13855511452695,0.6282926376911319
19.75,5.1962084,25.000584000000003,192.44801651912192,217.44860051912192,0.6068323335952196
20.0,5.3958637,25.000584000000003,185.3271423442368,210.3277263442368,0.5869601583663728
20.25,5.5955189999999995,25.000584000000003,178.71443203034428,203.7150160303443,0.5685061125753738
20.5,5.795174299999999,25.000584000000003,172.55736380526125,197.55794780526125,0.5513236240690678
20.75,5.994829600000001,25.000584000000003,166.81041275968875,191.81099675968875,0.5352856467920626
21.0,6.194484900000001,25.000584000000003,161.43392326293343,186.43450726293344,0.5202815140449342
21.25,6.394140200000001,25.000584000000003,156.3931926297143,181.3937766297143,0.5062143812794038
21.5,6.593795500000001,25.000584000000003,151.65772126235944,176.65830526235945,0.49299913347525615
21.75,6.7934508000000005,25.000584000000003,147.20059502013322,172.20117902013322,0.48056066152261284
22.0,6.9931061,25.000584000000003,142.9979733898217,167.9985573898217,0.46883243386305884
22.25,7.1927614,25.000584000000003,139.02866289989822,164.02924689989823,0.45775530601944947
22.5,7.3924167,25.000584000000003,135.27375966238483,160.27434366238484,0.44727652303990983
22.75,7.592072,25.000584000000003,131.71634831703386,156.71693231703387,0.4373488793434051
23.0,7.7917273,25.000584000000003,128.3412472610534,153.3418312610534,0.42793000773406487
23.25,7.9913826,25.000584000000003,125.13479206964762,150.1353760696476,0.41898177499435507
23.5,8.1910379,25.000584000000003,122.08465059110519,147.0852345911052,0.41046976587219614
23.75,8.3906932,25.000584000000003,119.17966444059712,144.18024844059713,0.4023628407387801
24.0,8.590348500000001,25.000584000000003,116.4097125978067,141.4102965978067,0.394632754931403
24.25,8.790003800000001,25.000584000000003,113.76559359394132,138.76617759394134,0.3872538299735576
24.5,8.9896591,25.000584000000003,111.23892339810749,136.2395073981075,0.3802026686071339
24.75,9.1893144,25.000584000000003,108.82204661536012,133.8226306153601,0.37345790697341746
25.0,9.3889697,25.000584000000003,106.5079590149279,131.5085430149279,0.3669999984131343
