d_min,T_dew,F_nominal_kW,F_precooled_kW
15.0,10.0,132.11243355524138,185.34812260983682
15.0,11.0,132.11243355524138,185.34812260983682
15.0,12.0,132.11243355524138,185.34812260983682
15.0,13.0,132.11243355524138,185.34812260983682
15.0,14.0,132.11243355524138,185.34812260983682
15.0,15.0,132.11243355524138,185.34812260983682
15.0,16.0,132.11243355524138,185.34812260983682
15.0,17.0,132.11243355524138,177.7430241787503
15.0,18.0,132.11243355524138,170.13792574766373
15.0,19.0,132.11243355524138,162.53282731657725
15.0,20.0,132.11243307709918,154.92772888549072
15.0,21.0,132.11243219661728,147.32263045440425
15.0,22.0,132.11243131613534,139.7175311476342
15.0,23.0,132.11243043565338,132.11243043565338
15.0,24.0,132.11242899868995,124.50732972367247
30.0,10.0,66.05621676901693,92.67406130489621
30.0,11.0,66.05621676901693,92.67406130489621
30.0,12.0,66.05621676901693,92.67406130489621
30.0,13.0,66.05621676901693,92.67406130489621
30.0,14.0,66.05621676901693,92.67406130489621
30.0,15.0,66.05621676901693,92.67406130489621
30.0,16.0,66.05621676901693,92.67406130489621
30.0,17.0,66.05621635387739,88.87151208935293
30.0,18.0,66.05621593873784,85.06896279187376
30.0,19.0,66.0562167961157,81.26641300610696
30.0,20.0,66.05621679611714,77.46386444274536
30.0,21.0,66.05621679611988,73.66131522720212
30.0,22.0,66.05621619621625,69.85876557381704
30.0,23.0,66.05621521782668,66.05621521782668
30.0,24.0,66.05621409934469,62.2536648618362
60.0,10.0,33.028108398072796,46.33703065245918
60.0,11.0,33.028108398072796,46.33703065245918
60.0,12.0,33.028108398072796,46.33703065245918
60.0,13.0,33.028108398072796,46.33703065245918
60.0,14.0,33.028108398072796,46.33703065245918
60.0,15.0,33.028108398072796,46.33703065245918
60.0,16.0,33.028108398072796,46.33703065245918
60.0,17.0,33.028108398070636,44.435756044687594
60.0,18.0,33.02810839806847,42.534481436915925
60.0,19.0,33.028108398066315,40.633206829144335
60.0,20.0,33.02810839805857,38.73193222137266
60.0,21.0,33.02810839805991,36.83065761360101
60.0,22.0,33.02810817479839,34.92938278690859
60.0,23.0,33.02810760891332,33.02810760891332
60.0,24.0,33.0281070387173,31.126832430918125
