layer,d,T_dew,q_kW,T_j,T_w,geo,lp
B,30.0,15.467394022726548,22.047853745321493,84.3634899595319,54.19479118860583,False,True
B,15.0,19.168052437976485,17.86652864059795,75.95057417961657,18.42293032525899,False,True
B,60.0,17.154212525515074,38.85038228209067,84.75464825192721,37.34552656848928,False,True
B,15.0,18.177812835832782,138.53235264925482,30.94775703270985,16.517286631413818,False,True
B,60.0,14.97658892095042,38.7574609707719,67.47669524802359,39.0348749060922,False,True
B,30.0,15.142893617069374,138.2106585511651,38.617662532427694,24.736927464403834,False,True
B,60.0,13.177142628198752,77.18088297675389,63.418346283234214,18.702720590344192,False,True
B,60.0,23.771268788517304,42.9873803904825,67.6796321957313,36.43852674508353,False,True
B,30.0,20.715801080083946,6.138000566265069,68.9001363902914,19.458605978551308,False,True
B,60.0,10.500281767495006,58.21042720922404,60.37272086159225,29.49436967650076,False,True
B,15.0,16.89267596336174,54.701388934221406,80.01339525762708,53.31418121607514,False,True
B,30.0,20.065897618746824,136.71187702540573,31.54947765018058,18.893156451833253,False,True
