week,controller,mv_usd_day,mv_std,sum_q_kW,penalty,shortfall_kWh,viol_days,max_viol_K,switches,infeas
humid,B1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
humid,B2,492.25468074700836,425.8732242374947,708.9051549038625,4.044005995187784,2.9670945863039213,10,8.744302513853654,0.6666666666666666,1.0
humid,B3,78.13011864966782,73.46546023285902,127.82743587559392,0.01869355091392277,0.10587789320100907,0,0.0,0.2857142857142857,0.47619047619047616
humid,B4,0.4136533000361453,1.1122453934124519,10.640911939607122,0.0006411756018822628,0.008014695023528286,0,0.0,0.0,0.047619047619047616
humid,B5,270.57118104479235,210.2264601360198,792.8571428571429,0.0,0.0,0,0.0,0.0,0.0
humid,B6,584.7211428571429,466.80353684663595,1028.5714285714287,0.0,0.0,0,0.0,0.0,0.0
mild,B1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
mild,B2,2.5734147177110613,5.3688457476290585,101.2325643445024,0.06883242728269344,0.6855716033116613,1,5.9439396678918115,0.09523809523809523,0.09523809523809523
mild,B3,0.5174592935462913,1.052284631430482,17.626777864115308,0.0012463253776316846,0.012266982063303981,0,0.0,0.0,0.09523809523809523
mild,B4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
mild,B5,-4.138988928752628,3.2391215625804377,807.1428571428571,0.0,0.0,0,0.0,0.0,0.0
mild,B6,4.069571428571428,6.203290889289559,200.0,0.0,0.0,0,0.0,0.0,0.0
scarcity,B1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
scarcity,B2,155.6184035017393,243.27838395366805,731.7759131720367,1.028123341095966,3.680163819854368,7,6.983293303120746,0.9523809523809523,0.8095238095238095
scarcity,B3,37.40355401355701,58.07760613740661,216.5993664216755,0.0886910385681894,0.7027399337175184,0,0.0,0.2857142857142857,0.8095238095238095
scarcity,B4,24.573379561021973,37.933035412142125,81.93915696975505,0.048399886200172514,0.4962760416021823,0,0.0,0.09523809523809523,0.38095238095238093
scarcity,B5,75.40404546278175,127.33810459046653,764.2857142857143,0.0,0.0,0,0.0,0.0,0.0
scarcity,B6,164.06114285714287,255.1798045352112,871.4285714285714,0.0,0.0,0,0.0,0.0,0.0
