date,seed,viol_K,n_obl,n_fail
2024-01-14,0,1.975641977556819,0,0
2024-01-14,1,0.25168757919001905,0,0
2024-01-14,2,2.4426848840448088,1,1
2024-01-14,3,0.0,1,1
2024-01-14,4,1.4484251324636404,0,0
2024-01-15,0,1.9699885448336545,1,1
2024-01-15,1,0.0,1,1
2024-01-15,2,5.203222364491012,3,3
2024-01-15,3,0.0,2,2
2024-01-15,4,5.159243667839206,1,1
2024-01-16,0,1.9699885448336545,1,1
2024-01-16,1,0.0,2,2
2024-01-16,2,5.203222364490983,1,1
2024-01-16,3,0.0,1,1
2024-01-16,4,5.159243667837501,1,1
2024-01-17,0,1.9756419775547727,0,0
2024-01-17,1,0.06517805879811078,1,1
2024-01-17,2,2.3385661074015616,1,1
2024-01-17,3,0.0,1,1
2024-01-17,4,1.4536536212785904,2,2
2024-01-18,0,1.9756420275495543,0,0
2024-01-18,1,0.25168757919001905,0,0
2024-01-18,2,5.560772530255036,0,0
2024-01-18,3,0.0,0,0
2024-01-18,4,5.464553964180652,0,0
2024-01-19,0,1.9756420275495543,0,0
2024-01-19,1,0.25168757919001905,0,0
2024-01-19,2,5.560772530255036,0,0
2024-01-19,3,0.0,0,0
2024-01-19,4,5.464553964180652,0,0
2024-01-20,0,1.9756420257917,0,0
2024-01-20,1,0.0,0,0
2024-01-20,2,2.753197839224768,1,1
2024-01-20,3,0.0,0,0
2024-01-20,4,1.4536536212785904,1,1
